claim_number,claimant_name,coverage,feature_identifier,loss_date,evaluation_date,period,paid_loss,reserve_loss
620007962,"holzir, rochird",BI,0057318A23EC183B,8/25/2019 0:00,3/31/2021 0:00,Transporting Rider,0,"1,000,000"
620007962,"holzir, rochird",BI,0057318A23EC183B,8/25/2019 0:00,4/30/2021 0:00,Transporting Rider,0,"1,000,000"
620007962,"holzir, rochird",BI,0057318A23EC183B,8/25/2019 0:00,5/31/2021 0:00,Transporting Rider,0,"1,000,000"
620007962,"holzir, rochird",BI,0057318A23EC183B,8/25/2019 0:00,6/30/2021 0:00,Transporting Rider,0,"1,000,000"
620007962,"holzir, rochird",BI,0057318A23EC183B,8/25/2019 0:00,7/31/2021 0:00,Transporting Rider,0,"1,000,000"
620007962,"holzir, rochird",BI,0057318A23EC183B,8/25/2019 0:00,8/31/2021 0:00,Transporting Rider,0,"1,000,000"
620007962,"holzir, rochird",BI,0057318A23EC183B,8/25/2019 0:00,9/30/2021 0:00,Transporting Rider,0,"1,000,000"
620007962,"holzir, rochird",BI,0057318A23EC183B,8/25/2019 0:00,10/31/2021 0:00,Transporting Rider,0,"1,000,000"
620007962,"holzir, rochird",BI,0057318A23EC183B,8/25/2019 0:00,11/30/2021 0:00,Transporting Rider,0,"1,000,000"
620007962,"holzir, rochird",BI,0057318A23EC183B,8/25/2019 0:00,12/31/2021 0:00,Transporting Rider,0,"1,000,000"
620007962,"holzir, rochird",BI,0057318A23EC183B,8/25/2019 0:00,1/31/2022 0:00,Transporting Rider,0,"1,000,000"
620007962,"holzir, rochird",BI,0057318A23EC183B,8/25/2019 0:00,2/28/2022 0:00,Transporting Rider,0,"1,000,000"
620007962,"holzir, rochird",BI,0057318A23EC183B,8/25/2019 0:00,3/31/2022 0:00,Transporting Rider,0,"1,000,000"
620007962,"holzir, rochird",BI,0057318A23EC183B,8/25/2019 0:00,4/30/2022 0:00,Transporting Rider,0,"1,000,000"
620007962,"holzir, rochird",BI,0057318A23EC183B,8/25/2019 0:00,5/31/2022 0:00,Transporting Rider,0,"1,000,000"
620007962,"holzir, rochird",BI,0057318A23EC183B,8/25/2019 0:00,6/30/2022 0:00,Transporting Rider,0,"1,000,000"
570914648,"rc nuldy, kidhironi",BI,080AA10F66BD19DF,12/8/2019 0:00,12/31/2019 0:00,Transporting Rider,0,"75,000"
570914648,"rc nuldy, kidhironi",BI,080AA10F66BD19DF,12/8/2019 0:00,1/31/2020 0:00,Transporting Rider,0,"75,000"
570914648,"rc nuldy, kidhironi",BI,080AA10F66BD19DF,12/8/2019 0:00,2/29/2020 0:00,Transporting Rider,0,"75,000"
570914648,"rc nuldy, kidhironi",BI,080AA10F66BD19DF,12/8/2019 0:00,3/31/2020 0:00,Transporting Rider,0,"75,000"
570914648,"rc nuldy, kidhironi",BI,080AA10F66BD19DF,12/8/2019 0:00,4/30/2020 0:00,Transporting Rider,0,"75,000"
570914648,"rc nuldy, kidhironi",BI,080AA10F66BD19DF,12/8/2019 0:00,5/31/2020 0:00,Transporting Rider,0,"85,000"
570914648,"rc nuldy, kidhironi",BI,080AA10F66BD19DF,12/8/2019 0:00,6/30/2020 0:00,Transporting Rider,0,"85,000"
570914648,"rc nuldy, kidhironi",BI,080AA10F66BD19DF,12/8/2019 0:00,7/31/2020 0:00,Transporting Rider,0,"100,000"
570914648,"rc nuldy, kidhironi",BI,080AA10F66BD19DF,12/8/2019 0:00,8/31/2020 0:00,Transporting Rider,0,"100,000"
570914648,"rc nuldy, kidhironi",BI,080AA10F66BD19DF,12/8/2019 0:00,9/30/2020 0:00,Transporting Rider,0,"100,000"
570914648,"rc nuldy, kidhironi",BI,080AA10F66BD19DF,12/8/2019 0:00,10/31/2020 0:00,Transporting Rider,0,"100,000"
570914648,"rc nuldy, kidhironi",BI,080AA10F66BD19DF,12/8/2019 0:00,11/30/2020 0:00,Transporting Rider,0,"100,000"
570914648,"rc nuldy, kidhironi",BI,080AA10F66BD19DF,12/8/2019 0:00,12/31/2020 0:00,Transporting Rider,0,"100,000"
570914648,"rc nuldy, kidhironi",BI,080AA10F66BD19DF,12/8/2019 0:00,1/31/2021 0:00,Transporting Rider,0,"100,000"
570914648,"rc nuldy, kidhironi",BI,080AA10F66BD19DF,12/8/2019 0:00,2/28/2021 0:00,Transporting Rider,0,"310,000"
570914648,"rc nuldy, kidhironi",BI,080AA10F66BD19DF,12/8/2019 0:00,3/31/2021 0:00,Transporting Rider,0,"310,000"
570914648,"rc nuldy, kidhironi",BI,080AA10F66BD19DF,12/8/2019 0:00,4/30/2021 0:00,Transporting Rider,0,"310,000"
570914648,"rc nuldy, kidhironi",BI,080AA10F66BD19DF,12/8/2019 0:00,5/31/2021 0:00,Transporting Rider,0,"400,000"
570914648,"rc nuldy, kidhironi",BI,080AA10F66BD19DF,12/8/2019 0:00,6/30/2021 0:00,Transporting Rider,0,"400,000"
570914648,"rc nuldy, kidhironi",BI,080AA10F66BD19DF,12/8/2019 0:00,7/31/2021 0:00,Transporting Rider,0,"400,000"
570914648,"rc nuldy, kidhironi",BI,080AA10F66BD19DF,12/8/2019 0:00,8/31/2021 0:00,Transporting Rider,0,"400,000"
570914648,"rc nuldy, kidhironi",BI,080AA10F66BD19DF,12/8/2019 0:00,9/30/2021 0:00,Transporting Rider,0,"400,000"
570914648,"rc nuldy, kidhironi",BI,080AA10F66BD19DF,12/8/2019 0:00,10/31/2021 0:00,Transporting Rider,0,"400,000"
570914648,"rc nuldy, kidhironi",BI,080AA10F66BD19DF,12/8/2019 0:00,11/30/2021 0:00,Transporting Rider,0,"400,000"
